SCORE;POPULATION_SIZE;CHILDREN_SIZE;PARENTS_SIZE;ARITHMETIC_XOVER_N_PARENTS;MUTATION_PROBABILITY;N_SURVIVORS;TOURNAMENT_SIZE;ARITHMETIC_RECOMB_ALPHA;MUTATION_A;MUTATION_B;MUTATION_EPSILON
9.999730781626889;300;10;0.7;2;0.55333;100;3;0.11;1.5;2.05555555556;1.47368421053e-11;HALTED_BAD_RESULT
9.999813317292272;300;10;0.7;2;0.55333;100;3;0.11;1.5;2.16666666667;1.47368421053e-11;HALTED_BAD_RESULT
9.999802330536458;300;10;0.7;2;0.55333;100;3;0.11;1.5;2.27777777778;1.47368421053e-11;HALTED_BAD_RESULT
9.999877538891704;300;10;0.7;2;0.55333;100;3;0.11;1.5;2.38888888889;1.47368421053e-11;HALTED_BAD_RESULT
9.999832959025277;300;10;0.7;2;0.55333;100;3;0.11;1.5;2.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999905601958195;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;1.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999880328523497;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;1.61111111111;1.47368421053e-11;HALTED_BAD_RESULT
9.999872875006458;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;1.72222222222;1.47368421053e-11;HALTED_BAD_RESULT
9.99978085336602;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;1.83333333333;1.47368421053e-11;HALTED_BAD_RESULT
9.999911746066038;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;1.94444444444;1.47368421053e-11;HALTED_BAD_RESULT
9.999849519612253;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;2.05555555556;1.47368421053e-11;HALTED_BAD_RESULT
9.999840202371118;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;2.16666666667;1.47368421053e-11;HALTED_BAD_RESULT
9.999879429641835;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;2.27777777778;1.47368421053e-11;HALTED_BAD_RESULT
9.99980766277843;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;2.38888888889;1.47368421053e-11;HALTED_BAD_RESULT
9.99992812649836;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;2.5;1.47368421053e-11;HALTED_BAD_RESULT
9.99989536153;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;1.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999944482561828;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;1.61111111111;1.47368421053e-11;HALTED_BAD_RESULT
9.999890282269623;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;1.72222222222;1.47368421053e-11;HALTED_BAD_RESULT
9.999869031728965;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;1.83333333333;1.47368421053e-11;HALTED_BAD_RESULT
9.999934237858017;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;1.94444444444;1.47368421053e-11;HALTED_BAD_RESULT
9.99989130067224;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;2.05555555556;1.47368421053e-11;HALTED_BAD_RESULT
9.999914592497875;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;2.16666666667;1.47368421053e-11;HALTED_BAD_RESULT
9.999811574414082;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;2.27777777778;1.47368421053e-11;HALTED_BAD_RESULT
9.999883383234339;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;2.38888888889;1.47368421053e-11;HALTED_BAD_RESULT
9.999863010661812;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;2.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999895588726188;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;1.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999944035950604;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;1.61111111111;1.47368421053e-11;HALTED_BAD_RESULT
9.999896221712712;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;1.72222222222;1.47368421053e-11;HALTED_BAD_RESULT
9.999909240517036;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;1.83333333333;1.47368421053e-11;HALTED_BAD_RESULT
9.999915183293295;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;1.94444444444;1.47368421053e-11;HALTED_BAD_RESULT
9.99989102419059;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;2.05555555556;1.47368421053e-11;HALTED_BAD_RESULT
9.99988073966645;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;2.16666666667;1.47368421053e-11;HALTED_BAD_RESULT
9.999897595668118;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;2.27777777778;1.47368421053e-11;HALTED_BAD_RESULT
9.999756717141477;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;2.38888888889;1.47368421053e-11;HALTED_BAD_RESULT
9.999928610091747;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;2.5;1.47368421053e-11;HALTED_BAD_RESULT
9.99993122625377;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;1.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999889248499771;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;1.61111111111;1.47368421053e-11;HALTED_BAD_RESULT
9.999913890204507;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;1.72222222222;1.47368421053e-11;HALTED_BAD_RESULT
9.999928781261373;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;1.83333333333;1.47368421053e-11;HALTED_BAD_RESULT
9.99990968290327;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;1.94444444444;1.47368421053e-11;HALTED_BAD_RESULT
9.999850089957338;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;2.05555555556;1.47368421053e-11;HALTED_BAD_RESULT
9.999937627611905;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;2.16666666667;1.47368421053e-11;HALTED_BAD_RESULT
9.999884002322608;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;2.27777777778;1.47368421053e-11;HALTED_BAD_RESULT
9.99982932230493;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;2.38888888889;1.47368421053e-11;HALTED_BAD_RESULT
9.999857693612023;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;2.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999929091710065;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;1.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999896501780398;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;1.61111111111;1.47368421053e-11;HALTED_BAD_RESULT
9.999926121044497;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;1.72222222222;1.47368421053e-11;HALTED_BAD_RESULT
9.999853850273627;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;1.83333333333;1.47368421053e-11;HALTED_BAD_RESULT
9.999912874923078;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;1.94444444444;1.47368421053e-11;HALTED_BAD_RESULT
9.99984131855046;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;2.05555555556;1.47368421053e-11;HALTED_BAD_RESULT
9.999937638313682;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;2.16666666667;1.47368421053e-11;HALTED_BAD_RESULT
9.99992703466019;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;2.27777777778;1.47368421053e-11;HALTED_BAD_RESULT
9.999861864735179;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;2.38888888889;1.47368421053e-11;HALTED_BAD_RESULT
9.999938434595604;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;2.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999897753195027;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;1.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999881177859734;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;1.61111111111;1.47368421053e-11;HALTED_BAD_RESULT
9.999925449008618;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;1.72222222222;1.47368421053e-11;HALTED_BAD_RESULT
9.999870184249065;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;1.83333333333;1.47368421053e-11;HALTED_BAD_RESULT
9.999942813501097;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;1.94444444444;1.47368421053e-11;HALTED_BAD_RESULT
9.999901314614982;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;2.05555555556;1.47368421053e-11;HALTED_BAD_RESULT
9.999913208026593;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;2.16666666667;1.47368421053e-11;HALTED_BAD_RESULT
9.99989911299371;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;2.27777777778;1.47368421053e-11;HALTED_BAD_RESULT
9.99989888222672;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;2.38888888889;1.47368421053e-11;HALTED_BAD_RESULT
9.999907347999116;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;2.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999720124544332;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;1.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999938216768024;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;1.61111111111;1.47368421053e-11;HALTED_BAD_RESULT
9.999915913955233;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;1.72222222222;1.47368421053e-11;HALTED_BAD_RESULT
9.999878004444243;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;1.83333333333;1.47368421053e-11;HALTED_BAD_RESULT
9.999889842524022;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;1.94444444444;1.47368421053e-11;HALTED_BAD_RESULT
9.999890937467235;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;2.05555555556;1.47368421053e-11;HALTED_BAD_RESULT
9.999870882132313;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;2.16666666667;1.47368421053e-11;HALTED_BAD_RESULT
9.999896427379126;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;2.27777777778;1.47368421053e-11;HALTED_BAD_RESULT
9.999900397270906;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;2.38888888889;1.47368421053e-11;HALTED_BAD_RESULT
9.999913878155821;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;2.5;1.47368421053e-11;HALTED_BAD_RESULT
9.99993145654214;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;1.5;1.47368421053e-11;HALTED_BAD_RESULT
9.99990299666542;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;1.61111111111;1.47368421053e-11;HALTED_BAD_RESULT
9.999932775607498;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;1.72222222222;1.47368421053e-11;HALTED_BAD_RESULT
9.99990932029408;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;1.83333333333;1.47368421053e-11;HALTED_BAD_RESULT
9.99989654578948;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;1.94444444444;1.47368421053e-11;HALTED_BAD_RESULT
9.999924873908283;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;2.05555555556;1.47368421053e-11;HALTED_BAD_RESULT
